donor,condition,rna,atac,protein,glyco_fraction,metabolite_available
D01,control,0.9083,0.6541,1.9083,0.2927,1
D01,perturbed,1.6095,0.9931,2.1464,0.3358,1
D02,control,0.9365,0.6682,1.9365,0.2949,1
D02,perturbed,1.1156,0.6552,2.0019,0.3661,1
D03,control,0.9789,0.6894,1.9789,0.2983,1
D03,perturbed,1.3196,1.0221,2.0262,0.3515,0
D04,control,0.7663,0.5832,1.7663,0.2813,1
D04,perturbed,1.0274,1.0165,2.3883,0.4049,1
D05,control,0.707,0.5535,1.707,0.2766,1
D05,perturbed,1.0426,0.9158,2.6676,0.3713,1
D06,control,0.9327,0.6663,1.9327,0.2946,1
D06,perturbed,1.3397,1.0428,2.2553,0.3074,1
D07,control,1.1986,0.7993,2.1986,0.3159,1
D07,perturbed,1.4561,1.1488,2.0511,0.3268,0
D08,control,0.7004,0.5502,1.7004,0.276,1
D08,perturbed,1.1314,0.8338,2.2306,0.3683,1
