cell_id,donor,condition,state,x_um,y_um,rna_a,rna_b,embed_x,embed_y
D01-control-000,D01,control,S2,466.925,440.008,1.2089,1.7573,2.1786,1.778
D01-control-001,D01,control,S2,187.143,354.524,1.6031,1.1285,2.4875,1.5982
D01-control-002,D01,control,S2,453.058,379.828,0.7154,1.5141,2.7275,3.1665
D01-control-003,D01,control,S1,629.951,75.668,0.4887,1.8304,-0.289,0.4265
D01-control-004,D01,control,S3,65.427,155.653,1.6965,0.6161,4.945,-0.9626
D01-control-005,D01,control,S2,658.433,96.757,1.2237,1.1769,2.3032,2.3496
D01-control-006,D01,control,S1,180.654,60.645,0.2735,1.3857,-0.1105,-1.1239
D01-control-007,D01,control,S2,5.8,336.341,1.3388,1.3387,2.0175,1.6524
D01-control-008,D01,control,S1,120.309,52.986,0.9688,1.1185,0.1967,0.7474
D01-control-009,D01,control,S1,76.678,360.837,1.0202,1.505,-0.9557,-0.4794
D01-control-010,D01,control,S2,254.399,79.118,0.7308,1.2138,1.3833,2.5779
D01-control-011,D01,control,S2,236.07,353.886,0.7054,0.9553,2.0372,1.8991
D01-control-012,D01,control,S1,299.952,497.813,0.9726,1.2411,-0.029,0.047
D01-control-013,D01,control,S2,260.012,185.602,1.2183,0.6549,1.3026,2.4102
D01-control-014,D01,control,S2,466.927,212.514,1.575,1.2063,2.1957,2.3412
D01-control-015,D01,control,S1,253.614,18.271,0.8666,1.7558,0.3999,0.6581
D01-control-016,D01,control,S1,427.032,84.226,0.2377,1.6241,-0.272,-0.223
D01-control-017,D01,control,S1,264.781,181.398,0.9115,1.4382,0.0785,-0.7293
D01-control-018,D01,control,S1,489.201,136.355,1.2139,1.3015,0.1858,-0.8547
D01-control-019,D01,control,S2,272.065,260.205,0.6098,0.8192,2.3824,2.0438
D01-control-020,D01,control,S1,527.621,125.319,0.2411,1.6818,-0.0642,-0.6285
D01-control-021,D01,control,S2,483.699,96.011,1.1176,0.5813,2.2329,2.8076
D01-control-022,D01,control,S1,586.525,432.169,0.9099,1.9162,0.524,0.3755
D01-control-023,D01,control,S1,615.677,28.973,1.3037,1.4274,-0.4547,0.4965
