donor,concentration_uM,response
D01,0,0.9561
D01,0.1,0.9288
D01,1,0.6741
D01,10,0.1667
D01,100,0.0658
D02,0,1.0191
D02,0.1,0.9272
D02,1,0.7109
D02,10,0.2146
D02,100,0.0841
D03,0,1.0469
D03,0.1,1.0029
D03,1,0.745
D03,10,0.1947
D03,100,0.0851
D04,0,1.0303
D04,0.1,0.9439
D04,1,0.735
D04,10,0.1581
D04,100,0.0368
D05,0,1.0089
D05,0.1,0.9545
D05,1,0.7207
D05,10,0.1868
D05,100,-0.028
D06,0,1.002
D06,0.1,0.9643
D06,1,0.7897
D06,10,0.2122
D06,100,0.0341
D07,0,1.0073
D07,0.1,1.0315
D07,1,0.6696
D07,10,0.2081
D07,100,0.0743
D08,0,1.0034
D08,0.1,0.9438
D08,1,0.7497
D08,10,0.2762
D08,100,-0.0332
