mz,relative_intensity
163.063,0.251
163.921,0.8829
172.789,0.4457
178.589,0.0537
188.379,0.5839
221.529,0.2489
223.874,0.9607
227.065,0.4556
229.73,0.4135
252.844,0.2535
272.015,0.8943
297.201,0.4289
297.795,0.9593
305.623,0.5343
308.386,0.1351
321.09,0.9718
369.526,0.0475
372.846,0.7294
375.115,0.433
379.304,0.4764
407.189,0.2279
507.241,0.4685
514.638,0.8516
536.886,0.0561
562.277,0.772
583.899,0.9126
608.815,0.2343
614.654,0.8991
693.24,0.0341
711.493,0.83
717.095,0.9363
721.315,0.916
786.921,0.8901
844.567,0.706
