position_bp,control,perturbed
0,0.1,0.1
10,0.1,0.1
20,0.1,0.1
30,0.1,0.1
40,0.1,0.1
50,0.1,0.1
60,0.1,0.1
70,0.1,0.1
80,0.1,0.1
90,0.1,0.1
100,0.1,0.1
110,0.1,0.1
120,0.1,0.1
130,0.10001,0.10001
140,0.10003,0.10002
150,0.10006,0.10004
160,0.10012,0.10009
170,0.10026,0.1002
180,0.10052,0.10041
190,0.10102,0.10083
200,0.10193,0.10163
210,0.10355,0.10309
220,0.10633,0.10568
230,0.11094,0.11013
240,0.11832,0.1175
250,0.12973,0.12931
260,0.14677,0.14757
270,0.17132,0.17483
280,0.2054,0.21411
290,0.25098,0.26864
300,0.30961,0.34156
310,0.38206,0.43538
320,0.46788,0.5513
330,0.56504,0.68861
340,0.66978,0.84407
350,0.77663,1.01165
360,0.8788,1.18261
370,0.96882,1.34608
380,1.03941,1.4901
390,1.0845,1.60306
400,1.1,1.67519
410,1.0845,1.7
420,1.03941,1.67519
430,0.96882,1.60306
440,0.8788,1.4901
450,0.77663,1.34608
460,0.66978,1.18261
470,0.56504,1.01165
480,0.46788,0.84407
490,0.38206,0.68861
500,0.30961,0.5513
510,0.25098,0.43538
520,0.2054,0.34156
530,0.17132,0.26864
540,0.14677,0.21411
550,0.12973,0.17483
560,0.11832,0.14757
570,0.11094,0.12931
580,0.10633,0.1175
590,0.10355,0.11013
600,0.10193,0.10568
610,0.10102,0.10309
620,0.10052,0.10163
630,0.10026,0.10083
640,0.10012,0.10041
650,0.10006,0.1002
660,0.10003,0.10009
670,0.10001,0.10004
680,0.1,0.10002
690,0.1,0.10001
700,0.1,0.1
710,0.1,0.1
720,0.1,0.1
730,0.1,0.1
740,0.1,0.1
750,0.1,0.1
760,0.1,0.1
770,0.1,0.1
780,0.1,0.1
790,0.1,0.1
800,0.1,0.1
810,0.1,0.1
820,0.1,0.1
830,0.1,0.1
840,0.1,0.1
850,0.1,0.1
860,0.1,0.1
870,0.1,0.1
880,0.1,0.1
890,0.1,0.1
900,0.1,0.1
910,0.1,0.1
920,0.1,0.1
930,0.1,0.1
940,0.1,0.1
950,0.1,0.1
960,0.1,0.1
970,0.1,0.1
980,0.1,0.1
990,0.1,0.1
1000,0.1,0.1
