donor,condition,feature,value
D01,C,RNA boundary,1.318185
D01,C,RNA epithelial,1.070247
D01,C,RNA stromal,1.255611
D01,C,ATAC boundary,0.991998
D01,C,ATAC lineage,0.466004
D01,C,Protein surface,0.906006
D01,C,Protein matrix,0.591249
D01,C,Lipid module,1.241683
D01,C,Amino-acid module,1.546548
D01,C,Invariant control,1.303333
D01,P,RNA boundary,1.4688
D01,P,RNA epithelial,1.061411
D01,P,RNA stromal,1.25902
D01,P,ATAC boundary,1.08556
D01,P,ATAC lineage,0.356739
D01,P,Protein surface,1.060731
D01,P,Protein matrix,0.586908
D01,P,Lipid module,1.278405
D01,P,Amino-acid module,1.489364
D01,P,Invariant control,1.314321
D02,C,RNA boundary,0.967678
D02,C,RNA epithelial,0.794081
D02,C,RNA stromal,0.891063
D02,C,ATAC boundary,0.765844
D02,C,ATAC lineage,0.337346
D02,C,Protein surface,0.731446
D02,C,Protein matrix,0.461895
D02,C,Lipid module,0.931549
D02,C,Amino-acid module,1.197873
D02,C,Invariant control,0.975522
D02,P,RNA boundary,1.296658
D02,P,RNA epithelial,0.770529
D02,P,RNA stromal,0.98503
D02,P,ATAC boundary,0.98438
D02,P,ATAC lineage,0.192414
D02,P,Protein surface,0.958532
D02,P,Protein matrix,0.392003
D02,P,Lipid module,0.418488
D02,P,Amino-acid module,1.355454
D02,P,Invariant control,0.973434
D03,C,RNA boundary,0.88381
D03,C,RNA epithelial,0.688685
D03,C,RNA stromal,0.874829
D03,C,ATAC boundary,0.720621
D03,C,ATAC lineage,0.248518
D03,C,Protein surface,0.69172
D03,C,Protein matrix,0.429163
D03,C,Lipid module,0.812959
D03,C,Amino-acid module,1.141926
D03,C,Invariant control,0.906652
D03,P,RNA boundary,1.206248
D03,P,RNA epithelial,0.668652
D03,P,RNA stromal,0.940896
D03,P,ATAC boundary,0.923168
D03,P,ATAC lineage,0.160565
D03,P,Protein surface,0.915041
D03,P,Protein matrix,0.361204
D03,P,Lipid module,0.688662
D03,P,Amino-acid module,1.124857
D03,P,Invariant control,0.901512
D04,C,RNA boundary,1.224856
D04,C,RNA epithelial,1.027317
D04,C,RNA stromal,1.136041
D04,C,ATAC boundary,0.923725
D04,C,ATAC lineage,0.437654
