donor,condition,cell_id,state,x_um,y_um,radial_offset_um,rna_epithelial,rna_stromal,rna_boundary,atac,protein,invariant
D01,C,D01-C-0000,Immune-like,1131.136,252.837,44.968,0.74653,0.71792,1.68354,1.11257,1.22491,1.52535
D01,C,D01-C-0001,Stromal-like,1192.584,168.957,148.049,0.52138,1.77473,0.79925,0.82269,0.6782,1.27365
D01,C,D01-C-0002,Stromal-like,464.85,858.945,171.262,0.39324,2.36865,0.63936,0.17456,0.68619,1.3769
D01,C,D01-C-0003,Immune-like,1238.811,509.482,-38.691,0.44882,0.45094,1.94579,1.52938,1.11169,1.26108
D01,C,D01-C-0004,Epithelial-like,1149.229,548.084,-95.529,1.88261,0.3657,1.3431,1.01511,1.06119,1.1642
D01,C,D01-C-0005,Epithelial-like,781.556,98.092,165.419,2.16268,0.68435,0.78502,0.52156,0.83641,1.91968
D01,C,D01-C-0006,Immune-like,996.494,297.37,-43.369,0.70331,0.75472,1.72849,0.89999,0.99077,1.09634
D01,C,D01-C-0007,Epithelial-like,429.487,633.397,15.343,2.27955,0.50381,1.66306,1.46573,1.08648,1.71336
D01,C,D01-C-0008,Stromal-like,143.092,749.535,250.452,0.52257,2.35211,1.23979,0.77684,0.59069,1.56163
D01,C,D01-C-0009,Epithelial-like,1252.932,572.521,-20.021,2.17747,0.71814,1.89237,1.39142,1.12577,1.68422
D01,C,D01-C-0010,Stromal-like,244.285,727.783,178.08,0.55595,2.3084,1.09044,0.91837,0.44526,1.37536
D01,C,D01-C-0011,Immune-like,754.815,216.182,35.19,0.32592,0.28774,2.01697,1.60822,1.21771,1.34197
D01,C,D01-C-0012,Stromal-like,1231.251,820.703,134.146,0.37095,2.12113,0.93059,0.5684,1.10823,0.77699
D01,C,D01-C-0013,Immune-like,876.756,795.496,19.945,1.00377,0.81625,1.63003,1.48588,0.9478,1.23651
D01,C,D01-C-0014,Epithelial-like,818.897,478.026,-262.881,2.28059,0.87639,0.87468,0.61219,1.26677,1.30189
D01,C,D01-C-0015,Stromal-like,724.658,552.498,-206.498,0.42896,2.0157,0.50445,0.63603,0.80509,1.21888
D01,C,D01-C-0016,Stromal-like,1521.495,471.307,157.025,0.33628,2.02911,1.41538,0.86166,1.03149,1.5015
D01,C,D01-C-0017,Stromal-like,744.694,768.113,-2.951,0.41839,2.35228,1.59369,1.30528,1.03348,1.27458
D01,C,D01-C-0018,Epithelial-like,1027.826,536.639,-179.496,2.1579,0.47163,1.10432,0.64886,1.14128,1.48336
D01,C,D01-C-0019,Immune-like,1130.156,298.502,2.544,0.6587,0.44256,1.62752,1.32422,0.8721,1.14946
D01,C,D01-C-0020,Stromal-like,516.568,868.642,162.174,0.48447,1.86009,0.81727,0.95885,0.76275,1.04551
D01,C,D01-C-0021,Epithelial-like,914.563,613.041,-179.836,1.92851,0.49995,0.72828,0.49211,0.60601,1.18076
D01,C,D01-C-0022,Stromal-like,308.525,495.156,66.257,0.51591,1.98125,1.28078,1.07331,0.82393,1.43985
D01,C,D01-C-0023,Stromal-like,523.083,841.418,133.149,0.90281,1.94217,0.97975,0.84211,0.60999,0.88021
D01,C,D01-C-0024,Stromal-like,1153.705,204.936,99.286,0.60938,2.21677,1.12998,0.82653,1.02631,1.21939
D01,C,D01-C-0025,Stromal-like,307.339,789.575,183.961,0.1718,2.06353,0.77698,0.85168,0.6136,1.31212
D01,C,D01-C-0026,Epithelial-like,906.894,685.215,-102.114,1.99309,0.73536,1.01731,0.51958,0.56725,1.29877
D01,C,D01-C-0027,Stromal-like,372.378,440.384,31.567,0.31728,1.95728,1.48003,0.90648,1.18573,1.26609
D01,C,D01-C-0028,Stromal-like,1220.361,792.784,104.405,0.64044,1.62866,1.06097,0.793,0.80763,1.39781
D01,C,D01-C-0029,Stromal-like,1330.059,610.707,43.153,0.75881,2.12852,1.73313,1.38384,1.06732,1.2465
D01,C,D01-C-0030,Immune-like,382.876,447.29,22.788,0.48221,0.63995,2.27638,1.77286,1.35988,1.58227
D01,C,D01-C-0031,Stromal-like,1027.408,209.676,57.264,0.80122,2.45178,1.51596,1.09314,1.32256,1.45667
D01,C,D01-C-0032,Epithelial-like,528.525,400.256,-51.948,2.09414,0.73176,1.30221,0.75985,0.59274,1.70838
D01,C,D01-C-0033,Stromal-like,631.228,121.447,161.271,0.71519,2.21533,1.15732,1.16302,0.67456,0.99514
D01,C,D01-C-0034,Stromal-like,393.904,500.819,7.568,0.43876,2.03103,1.18212,0.98053,0.64309,1.30188
D01,C,D01-C-0035,Epithelial-like,1060.147,738.562,-8.054,2.49876,0.65847,1.23158,1.11243,0.5939,1.26703
D01,C,D01-C-0036,Immune-like,745.78,752.246,-20.616,0.34361,0.35952,2.19514,1.58319,1.63646,0.91069
D01,C,D01-C-0037,Stromal-like,1001.807,590.218,-166.722,0.69032,2.45657,1.21092,1.11465,1.16268,1.17353
D01,C,D01-C-0038,Epithelial-like,1156.574,448.538,-83.707,1.97318,0.39452,1.04867,0.79559,0.74858,1.45635
D01,C,D01-C-0039,Stromal-like,1293.72,376.88,34.484,0.60769,2.10669,1.49339,0.7935,0.75038,0.93281
D01,C,D01-C-0040,Stromal-like,858.782,54.685,212.438,0.79515,2.3755,1.15399,0.86734,0.70657,1.40592
D01,C,D01-C-0041,Stromal-like,1164.864,796.129,85.166,0.85041,1.9725,1.35965,0.92261,0.55087,1.29135
D01,C,D01-C-0042,Immune-like,411.777,696.866,62.673,0.73026,0.69477,1.78906,1.3611,1.18576,1.14557
D01,C,D01-C-0043,Stromal-like,1469.74,446.852,125.502,0.67168,2.05702,0.9495,1.06342,1.0086,1.66643
D01,C,D01-C-0044,Immune-like,629.324,224.618,52.791,0.36919,0.35417,1.2894,0.99197,0.89936,1.36531
D01,C,D01-C-0045,Epithelial-like,1163.228,516.74,-90.324,2.10156,0.79233,1.21616,0.91651,1.0668,1.03388
D01,C,D01-C-0046,Epithelial-like,848.401,580.812,-224.524,2.11746,0.44213,1.37427,1.2581,0.63991,1.1158
D01,C,D01-C-0047,Stromal-like,1248.015,548.085,-28.973,0.6976,2.65711,1.51469,1.07211,1.25558,1.22193
D01,C,D01-C-0048,Epithelial-like,1149.869,186.026,116.57,2.12557,0.74475,0.79462,0.78793,0.53227,1.40458
