assay,condition,position_kb,signal
RNA,C,0.0,0.02
RNA,C,0.3333,0.02
RNA,C,0.6667,0.02
RNA,C,1.0,0.02
RNA,C,1.3333,0.02001
RNA,C,1.6667,0.02002
RNA,C,2.0,0.02003
RNA,C,2.3333,0.02006
RNA,C,2.6667,0.02012
RNA,C,3.0,0.02023
RNA,C,3.3333,0.02043
RNA,C,3.6667,0.02077
RNA,C,4.0,0.02134
RNA,C,4.3333,0.02231
RNA,C,4.6667,0.02387
RNA,C,5.0,0.02633
RNA,C,5.3333,0.03014
RNA,C,5.6667,0.03586
RNA,C,6.0,0.04426
RNA,C,6.3333,0.05625
RNA,C,6.6667,0.07295
RNA,C,7.0,0.09557
RNA,C,7.3333,0.12542
RNA,C,7.6667,0.16373
RNA,C,8.0,0.2115
RNA,C,8.3333,0.26935
RNA,C,8.6667,0.33732
RNA,C,9.0,0.41465
RNA,C,9.3333,0.49969
RNA,C,9.6667,0.58982
RNA,C,10.0,0.68151
RNA,C,10.3333,0.77054
RNA,C,10.6667,0.85222
RNA,C,11.0,0.92185
RNA,C,11.3333,0.97512
RNA,C,11.6667,1.00859
RNA,C,12.0,1.02
RNA,C,12.3333,1.00859
RNA,C,12.6667,0.97512
RNA,C,13.0,0.92185
RNA,C,13.3333,0.85222
RNA,C,13.6667,0.77054
RNA,C,14.0,0.68151
RNA,C,14.3333,0.58982
RNA,C,14.6667,0.49969
RNA,C,15.0,0.41465
RNA,C,15.3333,0.33732
RNA,C,15.6667,0.26935
RNA,C,16.0,0.2115
RNA,C,16.3333,0.16373
RNA,C,16.6667,0.12542
RNA,C,17.0,0.09557
RNA,C,17.3333,0.07295
RNA,C,17.6667,0.05625
RNA,C,18.0,0.04426
RNA,C,18.3333,0.03586
RNA,C,18.6667,0.03014
RNA,C,19.0,0.02633
RNA,C,19.3333,0.02387
RNA,C,19.6667,0.02231
RNA,C,20.0,0.02134
RNA,C,20.3333,0.02077
RNA,C,20.6667,0.02043
RNA,C,21.0,0.02023
RNA,C,21.3333,0.02012
RNA,C,21.6667,0.02006
RNA,C,22.0,0.02003
RNA,C,22.3333,0.02002
RNA,C,22.6667,0.02001
RNA,C,23.0,0.02
RNA,C,23.3333,0.02
RNA,C,23.6667,0.02
RNA,C,24.0,0.02
RNA,C,24.3333,0.02
RNA,C,24.6667,0.02001
RNA,C,25.0,0.02002
RNA,C,25.3333,0.02004
RNA,C,25.6667,0.02007
RNA,C,26.0,0.02014
RNA,C,26.3333,0.02026
RNA,C,26.6667,0.02046
RNA,C,27.0,0.02081
RNA,C,27.3333,0.02138
RNA,C,27.6667,0.02232
RNA,C,28.0,0.0238
RNA,C,28.3333,0.02608
RNA,C,28.6667,0.02952
RNA,C,29.0,0.03455
RNA,C,29.3333,0.04175
RNA,C,29.6667,0.05177
RNA,C,30.0,0.06534
RNA,C,30.3333,0.08325
RNA,C,30.6667,0.10624
RNA,C,31.0,0.1349
RNA,C,31.3333,0.16961
RNA,C,31.6667,0.21039
RNA,C,32.0,0.25679
RNA,C,32.3333,0.30781
RNA,C,32.6667,0.36189
RNA,C,33.0,0.41691
RNA,C,33.3333,0.47032
RNA,C,33.6667,0.51933
RNA,C,34.0,0.56111
RNA,C,34.3333,0.59307
RNA,C,34.6667,0.61315
RNA,C,35.0,0.62
RNA,C,35.3333,0.61315
RNA,C,35.6667,0.59307
RNA,C,36.0,0.56111
RNA,C,36.3333,0.51933
RNA,C,36.6667,0.47032
RNA,C,37.0,0.41691
RNA,C,37.3333,0.36189
RNA,C,37.6667,0.30781
RNA,C,38.0,0.25679
RNA,C,38.3333,0.2104
RNA,C,38.6667,0.16962
RNA,C,39.0,0.13491
RNA,C,39.3333,0.10627
RNA,C,39.6667,0.08332
RNA,C,40.0,0.06546
RNA,C,40.3333,0.05198
RNA,C,40.6667,0.04213
RNA,C,41.0,0.03523
RNA,C,41.3333,0.03067
RNA,C,41.6667,0.02802
RNA,C,42.0,0.02697
RNA,C,42.3333,0.02739
RNA,C,42.6667,0.02932
RNA,C,43.0,0.03294
RNA,C,43.3333,0.03859
RNA,C,43.6667,0.04673
RNA,C,44.0,0.05793
RNA,C,44.3333,0.07279
RNA,C,44.6667,0.0919
RNA,C,45.0,0.11577
RNA,C,45.3333,0.14469
RNA,C,45.6667,0.17867
RNA,C,46.0,0.21733
RNA,C,46.3333,0.25985
RNA,C,46.6667,0.30491
RNA,C,47.0,0.35076
RNA,C,47.3333,0.39527
RNA,C,47.6667,0.43611
RNA,C,48.0,0.47093
RNA,C,48.3333,0.49756
RNA,C,48.6667,0.51429
RNA,C,49.0,0.52
RNA,C,49.3333,0.51429
RNA,C,49.6667,0.49756
RNA,C,50.0,0.47093
RNA,C,50.3333,0.43611
RNA,C,50.6667,0.39527
RNA,C,51.0,0.35076
RNA,C,51.3333,0.30491
RNA,C,51.6667,0.25984
RNA,C,52.0,0.21733
RNA,C,52.3333,0.17866
RNA,C,52.6667,0.14468
RNA,C,53.0,0.11575
RNA,C,53.3333,0.09186
RNA,C,53.6667,0.07271
RNA,C,54.0,0.05779
RNA,C,54.3333,0.04647
RNA,C,54.6667,0.03813
RNA,C,55.0,0.03213
RNA,C,55.3333,0.02793
RNA,C,55.6667,0.02507
RNA,C,56.0,0.02317
RNA,C,56.3333,0.02193
RNA,C,56.6667,0.02115
RNA,C,57.0,0.02067
RNA,C,57.3333,0.02038
RNA,C,57.6667,0.02021
RNA,C,58.0,0.02012
RNA,C,58.3333,0.02006
RNA,C,58.6667,0.02003
RNA,C,59.0,0.02002
RNA,C,59.3333,0.02001
RNA,C,59.6667,0.02
RNA,C,60.0,0.02
RNA,P,0.0,0.026
RNA,P,0.3333,0.026
RNA,P,0.6667,0.026
RNA,P,1.0,0.026
RNA,P,1.3333,0.02601
RNA,P,1.6667,0.02602
RNA,P,2.0,0.02604
RNA,P,2.3333,0.02608
RNA,P,2.6667,0.02616
RNA,P,3.0,0.0263
RNA,P,3.3333,0.02655
RNA,P,3.6667,0.027
RNA,P,4.0,0.02775
RNA,P,4.3333,0.029
RNA,P,4.6667,0.03103
RNA,P,5.0,0.03423
RNA,P,5.3333,0.03918
RNA,P,5.6667,0.04662
RNA,P,6.0,0.05754
RNA,P,6.3333,0.07313
RNA,P,6.6667,0.09483
RNA,P,7.0,0.12425
RNA,P,7.3333,0.16305
RNA,P,7.6667,0.21284
RNA,P,8.0,0.27494
RNA,P,8.3333,0.35016
RNA,P,8.6667,0.43852
RNA,P,9.0,0.53905
RNA,P,9.3333,0.64959
RNA,P,9.6667,0.76676
RNA,P,10.0,0.88597
RNA,P,10.3333,1.0017
RNA,P,10.6667,1.10789
RNA,P,11.0,1.19841
RNA,P,11.3333,1.26766
RNA,P,11.6667,1.31116
RNA,P,12.0,1.326
RNA,P,12.3333,1.31116
RNA,P,12.6667,1.26766
RNA,P,13.0,1.19841
RNA,P,13.3333,1.10789
RNA,P,13.6667,1.0017
RNA,P,14.0,0.88597
RNA,P,14.3333,0.76676
RNA,P,14.6667,0.64959
RNA,P,15.0,0.53905
RNA,P,15.3333,0.43852
RNA,P,15.6667,0.35016
RNA,P,16.0,0.27494
RNA,P,16.3333,0.21284
RNA,P,16.6667,0.16305
RNA,P,17.0,0.12425
RNA,P,17.3333,0.09483
RNA,P,17.6667,0.07313
RNA,P,18.0,0.05754
RNA,P,18.3333,0.04662
RNA,P,18.6667,0.03918
RNA,P,19.0,0.03423
RNA,P,19.3333,0.03103
RNA,P,19.6667,0.029
RNA,P,20.0,0.02775
RNA,P,20.3333,0.027
RNA,P,20.6667,0.02655
RNA,P,21.0,0.0263
RNA,P,21.3333,0.02616
RNA,P,21.6667,0.02608
RNA,P,22.0,0.02604
RNA,P,22.3333,0.02602
RNA,P,22.6667,0.02601
RNA,P,23.0,0.02601
RNA,P,23.3333,0.026
RNA,P,23.6667,0.026
RNA,P,24.0,0.026
RNA,P,24.3333,0.02601
RNA,P,24.6667,0.02601
RNA,P,25.0,0.02603
RNA,P,25.3333,0.02605
RNA,P,25.6667,0.0261
RNA,P,26.0,0.02618
RNA,P,26.3333,0.02633
RNA,P,26.6667,0.0266
RNA,P,27.0,0.02705
RNA,P,27.3333,0.0278
RNA,P,27.6667,0.02902
RNA,P,28.0,0.03094
RNA,P,28.3333,0.03391
RNA,P,28.6667,0.03837
RNA,P,29.0,0.04492
RNA,P,29.3333,0.05428
RNA,P,29.6667,0.0673
RNA,P,30.0,0.08495
RNA,P,30.3333,0.10823
RNA,P,30.6667,0.13811
RNA,P,31.0,0.17537
RNA,P,31.3333,0.22049
RNA,P,31.6667,0.27351
RNA,P,32.0,0.33383
RNA,P,32.3333,0.40016
RNA,P,32.6667,0.47046
RNA,P,33.0,0.54198
RNA,P,33.3333,0.61142
RNA,P,33.6667,0.67513
RNA,P,34.0,0.72944
RNA,P,34.3333,0.771
RNA,P,34.6667,0.7971
RNA,P,35.0,0.806
RNA,P,35.3333,0.7971
RNA,P,35.6667,0.771
RNA,P,36.0,0.72944
RNA,P,36.3333,0.67513
RNA,P,36.6667,0.61142
RNA,P,37.0,0.54198
RNA,P,37.3333,0.47046
RNA,P,37.6667,0.40016
RNA,P,38.0,0.33383
RNA,P,38.3333,0.27352
RNA,P,38.6667,0.22051
RNA,P,39.0,0.17539
RNA,P,39.3333,0.13815
RNA,P,39.6667,0.10831
RNA,P,40.0,0.0851
RNA,P,40.3333,0.06758
RNA,P,40.6667,0.05477
RNA,P,41.0,0.0458
RNA,P,41.3333,0.03987
RNA,P,41.6667,0.03642
RNA,P,42.0,0.03506
RNA,P,42.3333,0.03561
RNA,P,42.6667,0.03811
RNA,P,43.0,0.04282
RNA,P,43.3333,0.05016
RNA,P,43.6667,0.06075
RNA,P,44.0,0.0753
RNA,P,44.3333,0.09462
RNA,P,44.6667,0.11947
RNA,P,45.0,0.1505
RNA,P,45.3333,0.18809
RNA,P,45.6667,0.23226
RNA,P,46.0,0.28253
RNA,P,46.3333,0.3378
RNA,P,46.6667,0.39638
RNA,P,47.0,0.45598
RNA,P,47.3333,0.51385
RNA,P,47.6667,0.56695
RNA,P,48.0,0.6122
RNA,P,48.3333,0.64683
RNA,P,48.6667,0.66858
RNA,P,49.0,0.676
RNA,P,49.3333,0.66858
RNA,P,49.6667,0.64683
RNA,P,50.0,0.6122
RNA,P,50.3333,0.56695
RNA,P,50.6667,0.51385
RNA,P,51.0,0.45598
RNA,P,51.3333,0.39638
RNA,P,51.6667,0.3378
RNA,P,52.0,0.28252
RNA,P,52.3333,0.23226
RNA,P,52.6667,0.18808
RNA,P,53.0,0.15047
RNA,P,53.3333,0.11942
RNA,P,53.6667,0.09453
RNA,P,54.0,0.07512
RNA,P,54.3333,0.06042
RNA,P,54.6667,0.04956
RNA,P,55.0,0.04177
RNA,P,55.3333,0.03631
RNA,P,55.6667,0.03259
RNA,P,56.0,0.03012
RNA,P,56.3333,0.02851
RNA,P,56.6667,0.0275
RNA,P,57.0,0.02687
RNA,P,57.3333,0.0265
RNA,P,57.6667,0.02628
RNA,P,58.0,0.02615
RNA,P,58.3333,0.02608
RNA,P,58.6667,0.02604
RNA,P,59.0,0.02602
RNA,P,59.3333,0.02601
RNA,P,59.6667,0.02601
RNA,P,60.0,0.026
ATAC,C,0.0,0.02
ATAC,C,0.3333,0.02
ATAC,C,0.6667,0.02
ATAC,C,1.0,0.02
ATAC,C,1.3333,0.02
ATAC,C,1.6667,0.02
ATAC,C,2.0,0.02
ATAC,C,2.3333,0.02
ATAC,C,2.6667,0.02
ATAC,C,3.0,0.02
ATAC,C,3.3333,0.02
ATAC,C,3.6667,0.02
ATAC,C,4.0,0.02
ATAC,C,4.3333,0.02
ATAC,C,4.6667,0.02
ATAC,C,5.0,0.02
ATAC,C,5.3333,0.02001
ATAC,C,5.6667,0.02005
ATAC,C,6.0,0.02015
ATAC,C,6.3333,0.02047
ATAC,C,6.6667,0.02133
ATAC,C,7.0,0.02348
ATAC,C,7.3333,0.02845
ATAC,C,7.6667,0.039
ATAC,C,8.0,0.05954
ATAC,C,8.3333,0.09619
ATAC,C,8.6667,0.15591
ATAC,C,9.0,0.24442
ATAC,C,9.3333,0.36305
ATAC,C,9.6667,0.50547
ATAC,C,10.0,0.65598
ATAC,C,10.3333,0.7913
ATAC,C,10.6667,0.88594
ATAC,C,11.0,0.92
ATAC,C,11.3333,0.88594
ATAC,C,11.6667,0.7913
ATAC,C,12.0,0.65598
ATAC,C,12.3333,0.50547
ATAC,C,12.6667,0.36305
ATAC,C,13.0,0.24442
ATAC,C,13.3333,0.15591
ATAC,C,13.6667,0.09619
ATAC,C,14.0,0.05954
ATAC,C,14.3333,0.039
ATAC,C,14.6667,0.02845
ATAC,C,15.0,0.02348
ATAC,C,15.3333,0.02133
ATAC,C,15.6667,0.02047
ATAC,C,16.0,0.02015
ATAC,C,16.3333,0.02005
ATAC,C,16.6667,0.02001
ATAC,C,17.0,0.02
ATAC,C,17.3333,0.02
ATAC,C,17.6667,0.02
ATAC,C,18.0,0.02
ATAC,C,18.3333,0.02
ATAC,C,18.6667,0.02
ATAC,C,19.0,0.02
ATAC,C,19.3333,0.02
ATAC,C,19.6667,0.02
ATAC,C,20.0,0.02
ATAC,C,20.3333,0.02
ATAC,C,20.6667,0.02
ATAC,C,21.0,0.02
ATAC,C,21.3333,0.02
ATAC,C,21.6667,0.02
ATAC,C,22.0,0.02
ATAC,C,22.3333,0.02
ATAC,C,22.6667,0.02
ATAC,C,23.0,0.02
ATAC,C,23.3333,0.02
ATAC,C,23.6667,0.02
ATAC,C,24.0,0.02
ATAC,C,24.3333,0.02
ATAC,C,24.6667,0.02
ATAC,C,25.0,0.02
